Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
drones_instance-24_network_4_deadline_11_corrsize_3,drones,24,3,1,4,11,3,32.3105555296671,0.41767023773016826,0.5611,40,0.9881,0.9913,0.9913,0.9292888081084909,0.9903077192547034,0.9903085727156711,0.26523828506469727,0.2939467430114746,2.404240608215332
drones_instance-24_network_4_deadline_11_corrsize_4,drones,24,3,1,4,11,3,0.14602642964832926,0.05588796976028594,0.794,40,0.9972,0.9997,0.9997,1.0,0.999430062067386,0.9994610558384317,0.2683296203613281,0.2508387565612793,0.501657247543335
drones_instance-24_network_4_deadline_12_corrsize_2,drones,24,3,1,4,12,2,41.52721815631185,0.7154562851548197,0.4902,40,0.6698,0.6717,0.6717,0.6276001970578982,0.6785208500153229,0.6773108751560147,0.2827284336090088,0.2941877841949463,0.5166776180267334
drones_instance-24_network_4_deadline_12_corrsize_3,drones,24,3,1,4,12,3,5.548662869373506,0.00885396826194743,0.7931,40,0.9959,0.9998,0.9998,1.0,0.999430062067386,0.9995174742314303,0.2753942012786865,0.2518575191497803,23.652550220489502
drones_instance-24_network_4_deadline_12_corrsize_4,drones,24,3,1,4,12,3,4.786496886020484,0.15683633105219236,0.5992,40,0.4387,0.4413,0.4401,0.3776825335112343,0.4356335350954383,0.44835183055338806,0.257565975189209,0.2885909080505371,1.4157423973083496
drones_instance-24_network_4_deadline_13_corrsize_2,drones,24,3,1,4,13,2,5.273639627026464,0.08568417410607737,0.8216,40,0.9968,0.999,0.9991,1.0,0.9988034795244952,0.9990443447000231,0.29015517234802246,0.8600475788116455,2.631054401397705
drones_instance-24_network_4_deadline_13_corrsize_3,drones,24,3,1,4,13,3,21.558779692706853,0.007993697335052083,0.8746,40,0.9497,0.9529,0.9528,0.936894720531854,0.9506821115521048,0.9533284510465593,0.27263927459716797,0.32407426834106445,6.513222694396973
drones_instance-24_network_4_deadline_13_corrsize_4,drones,24,3,1,4,13,3,27.0943628880011,0.04191852903542829,0.8633,40,0.9278,0.9306,0.9313,0.903671261023396,0.9241609347978574,0.9258598202816241,0.2645232677459717,0.33212709426879883,1.5105891227722168
drones_instance-24_network_4_deadline_14_corrsize_2,drones,24,3,1,4,14,2,13.204970820223505,0.5567576063402319,0.5354,40,0.9954,0.9997,0.9997,1.0,0.999430062067386,0.9994390599309388,0.2708466053009033,0.2535126209259033,1.3592183589935303
drones_instance-24_network_4_deadline_14_corrsize_3,drones,24,3,1,4,14,3,8.369543488162272,0.2994307472755203,0.5814,40,0.8912,0.8928,0.8928,0.8694912937276341,0.8945982006187131,0.8932759319762174,0.27996397018432617,0.29294395446777344,1.0877699851989746
drones_instance-24_network_4_deadline_14_corrsize_4,drones,24,3,1,4,14,3,16.228486656278978,0.0889366896029311,0.6882,40,0.9958,0.9984,0.9985,1.0,0.9982991726444749,0.9977850756754512,0.2812018394470215,0.8626747131347656,32.72639346122742
drones_instance-24_network_5_deadline_10_corrsize_2,drones,24,3,1,5,10,2,29.682582821297654,0.6001345610270867,0.4628,40,0.4203,0.4266,0.4276,0.38889458451047093,0.4482264554164394,0.4261478498754099,0.2673194408416748,0.32468104362487793,0.6892855167388916
drones_instance-24_network_5_deadline_10_corrsize_3,drones,24,3,1,5,10,3,3.3723891644542427,0.05303945743874153,0.8346,40,nan,0.0609,0.077,nan,0.06360198201340349,0.08035267302955566,nan,0.40661168098449707,34.85719871520996
drones_instance-24_network_5_deadline_10_corrsize_4,drones,24,3,1,5,10,3,32.213790200441174,0.05478030330958548,0.6041,40,0.2763,0.2681,0.2767,0.19396558662141083,0.2516947313493884,0.2783260972913866,0.26862049102783203,0.3199625015258789,2.8066658973693848
drones_instance-24_network_5_deadline_11_corrsize_2,drones,24,3,1,5,11,2,23.158988471432274,0.8898051724810797,0.3302,40,0.5423,0.551,0.5499,0.4830141574400645,0.5454278743019804,0.5438497381970049,0.2694737911224365,0.32242918014526367,0.577815055847168
drones_instance-24_network_5_deadline_11_corrsize_3,drones,24,3,1,5,11,3,3.7326227313769045,0.05651235762004047,0.6562,40,0.69,0.6915,0.6915,0.6636237963900605,0.7123042305809227,0.6854022926368675,0.29145145416259766,0.28699469566345215,15.153752565383911
drones_instance-24_network_5_deadline_11_corrsize_4,drones,24,3,1,5,11,3,25.362247312946195,0.26256861693850536,0.5708,40,0.2397,0.2584,0.26,0.20298587573635127,0.26025735792746585,0.25766633815837714,0.3136003017425537,0.32240939140319824,1.5989346504211426
drones_instance-24_network_5_deadline_12_corrsize_2,drones,24,3,1,5,12,2,22.58382010680033,0.6054708567623565,0.5922,40,0.7137,0.716,0.7185,0.6231643691783755,0.6747277281856522,0.7129837887479897,0.41767120361328125,0.28432297706604004,0.6049716472625732
drones_instance-24_network_5_deadline_12_corrsize_3,drones,24,3,1,5,12,3,26.44576274588884,0.053330555323914494,0.7964,40,0.9951,0.9974,0.9974,0.9978338980876647,0.9977559958462366,0.998046951697348,0.2663838863372803,0.8510594367980957,0.612802267074585
drones_instance-24_network_5_deadline_12_corrsize_4,drones,24,3,1,5,12,3,4.21608102155693,0.010629587485618269,0.8423,40,0.996,0.9997,0.9997,1.0,0.999430062067386,0.999483807719512,0.2710113525390625,0.24951791763305664,2.065624713897705
drones_instance-24_network_5_deadline_13_corrsize_2,drones,24,3,1,5,13,2,22.76386307112405,0.00040391272082079474,0.9945,40,0.9866,0.989,0.9889,0.984420227891625,0.9873783447649631,0.98752377735913,0.27037930488586426,0.32833003997802734,1.751023292541504
drones_instance-24_network_5_deadline_13_corrsize_3,drones,24,3,1,5,13,3,17.90587240308185,0.0028649657015333,0.7056,40,0.993,0.9961,0.9961,0.9947259338286359,0.9946884116784455,0.9947868372016062,0.2634451389312744,0.2881011962890625,31.945332050323486
drones_instance-24_network_5_deadline_13_corrsize_4,drones,24,3,1,5,13,3,32.344935032737524,0.16144717312563858,0.4744,40,0.674,0.6751,0.6751,0.621260934496634,0.6730721487539958,0.6779983930893746,0.257465124130249,0.287081241607666,1.296034812927246
drones_instance-24_network_5_deadline_14_corrsize_2,drones,24,3,1,5,14,2,18.636027758085717,0.8052766146210553,0.3208,40,0.9676,0.9696,0.9696,0.958881611685392,0.9675640271539481,0.9674448448863,0.2620372772216797,0.42678236961364746,1.8412466049194336
drones_instance-24_network_5_deadline_14_corrsize_3,drones,24,3,1,5,14,3,21.958279653938117,0.47205885295935984,0.3965,40,0.9952,0.9989,0.9983,1.0,0.9987806144569141,0.9977892450043347,0.3480985164642334,0.3444406986236572,0.43796467781066895
drones_instance-24_network_5_deadline_14_corrsize_4,drones,24,3,1,5,14,3,17.001683756645875,0.04215527167357983,0.579,40,0.9964,0.9989,0.9982,1.0,0.9986369737607756,0.997827683038505,0.27770447731018066,0.9824233055114746,7.2633185386657715
drones_instance-24_network_6_deadline_10_corrsize_2,drones,24,3,1,6,10,2,20.50110742345021,0.8518828916889281,0.375,40,0.682,0.6837,0.6837,0.6285917946080802,0.6795107820148033,0.6803777131094062,0.2650737762451172,0.28786611557006836,0.43639278411865234
drones_instance-24_network_6_deadline_10_corrsize_3,drones,24,3,1,6,10,3,15.73699464605227,0.06624047261046541,0.7557,40,nan,0.0004,0.0017,nan,0.02695158490836555,0.0016090780686101496,nan,0.43395543098449707,4.74399471282959
drones_instance-24_network_6_deadline_10_corrsize_4,drones,24,3,1,6,10,3,40.147134873195604,0.11397852689876145,0.5549,40,0.3709,0.3665,0.3724,0.2826747411942509,0.34324141129618757,0.35883382851180395,0.2667577266693115,0.3228435516357422,1.6456456184387207
drones_instance-24_network_6_deadline_11_corrsize_2,drones,24,3,1,6,11,2,33.32758864176569,0.37452156801511416,0.7724,40,0.139,0.1792,0.1965,0.20875029802106246,0.2680298855617178,0.1927733925521148,0.2738027572631836,0.35585498809814453,0.9833722114562988
drones_instance-24_network_6_deadline_11_corrsize_3,drones,24,3,1,6,11,3,11.637625708820648,0.15421284492434723,0.5344,40,0.9884,0.9915,0.9912,0.9892447857315023,0.9909930930301438,0.991010020126454,0.2642533779144287,0.35013246536254883,14.003502368927002
drones_instance-24_network_6_deadline_11_corrsize_4,drones,24,3,1,6,11,3,1.8233262375769879,0.00905814167639072,0.9193,40,0.9824,0.9853,0.9856,0.9780389722824426,0.9825755680083645,0.9855605731935179,0.26434969902038574,0.32036924362182617,6.716158151626587
drones_instance-24_network_6_deadline_12_corrsize_2,drones,24,3,1,6,12,2,33.872639599594265,0.004782501289697567,0.9757,40,0.3051,0.3168,0.3186,0.2893651829135796,0.350083545542762,0.31701658429787893,0.29671812057495117,0.32450413703918457,1.0672245025634766
drones_instance-24_network_6_deadline_12_corrsize_3,drones,24,3,1,6,12,3,11.13645020189714,0.3504126783967694,0.5038,40,0.827,0.8304,0.8285,0.7965385214578037,0.8327064133160849,0.825436493943543,0.2679717540740967,0.32225894927978516,1.6994240283966064
drones_instance-24_network_6_deadline_12_corrsize_4,drones,24,3,1,6,12,3,30.273821183018924,0.6653439695128515,0.2934,40,0.197,0.2146,0.2228,0.15737035573663855,0.20124190962424002,0.22063159492929307,0.2606358528137207,0.32185840606689453,2.47127628326416
drones_instance-24_network_6_deadline_13_corrsize_2,drones,24,3,1,6,13,2,17.348589934056918,0.44328934389920105,0.7445,40,0.9966,0.9991,0.9991,1.0,0.9983667153567433,0.9983459963599142,0.2648472785949707,0.9841494560241699,0.38131237030029297
drones_instance-24_network_6_deadline_13_corrsize_3,drones,24,3,1,6,13,3,2.7052848539647845,0.11593650280437877,0.7329,40,0.9965,1.0,1.0,1.0,0.9991527356953478,0.9991772169526084,0.3038949966430664,0.2462766170501709,4.135682821273804
drones_instance-24_network_6_deadline_13_corrsize_4,drones,24,3,1,6,13,3,16.770300348599818,0.03765963957181099,0.7282,40,0.6497,0.651,0.6675,0.5512075835345122,0.6066054461637546,0.6710749309901606,0.2677328586578369,0.2798190116882324,17.365411281585693
drones_instance-24_network_6_deadline_14_corrsize_2,drones,24,3,1,6,14,2,11.727576353020075,0.3572479467418698,0.6904,40,0.9951,0.9991,0.9991,1.0,0.9989789430843917,0.9990004186456494,0.26456522941589355,0.24547767639160156,1.5776638984680176
drones_instance-24_network_6_deadline_14_corrsize_3,drones,24,3,1,6,14,3,16.955691374666703,0.038545934777149744,0.5859,40,0.4658,0.47,0.4779,0.38813794251335926,0.4464695097358582,0.47342602741122014,0.2797243595123291,0.29225969314575195,2.588865280151367
